Date,Close Price
5/8/2018 0:00,9377.4
5/8/2018 1:00,9414.78
5/8/2018 2:00,9424.72
5/8/2018 3:00,9425.44
5/8/2018 4:00,9410.77
5/8/2018 5:00,9325.04
5/8/2018 6:00,9326.42
5/8/2018 7:00,9352.3
5/8/2018 8:00,9382.55
5/8/2018 9:00,9284.77
5/8/2018 10:00,9296.12
5/8/2018 11:00,9204.38
5/8/2018 12:00,9128.46
5/8/2018 13:00,9118.48
5/8/2018 14:00,9127.78
5/8/2018 15:00,9168.93
5/8/2018 16:00,9112.29
5/8/2018 17:00,9119.67
5/8/2018 18:00,9209.37
5/8/2018 19:00,9243.89
5/8/2018 20:00,9157.97
5/8/2018 21:00,9185.79
5/8/2018 22:00,9194.47
5/8/2018 23:00,9181.93
5/9/2018 0:00,9129.48
5/9/2018 1:00,9162.24
5/9/2018 2:00,9083.52
5/9/2018 3:00,9038.78
5/9/2018 4:00,9067.39
5/9/2018 5:00,9057.85
5/9/2018 6:00,9074.76
5/9/2018 7:00,9031
5/9/2018 8:00,9109.57
5/9/2018 9:00,9105.36
5/9/2018 10:00,9188.48
5/9/2018 11:00,9218.24
5/9/2018 12:00,9272.81
5/9/2018 13:00,9263.84
5/9/2018 14:00,9303.96
5/9/2018 15:00,9281.56
5/9/2018 16:00,9300.09
5/9/2018 17:00,9304.02
5/9/2018 18:00,9273.38
5/9/2018 19:00,9278.69
5/9/2018 20:00,9252.84
5/9/2018 21:00,9245.88
5/9/2018 22:00,9317.87
5/9/2018 23:00,9308.35
5/10/2018 0:00,9317.37
5/10/2018 1:00,9311.21
5/10/2018 2:00,9317.78
5/10/2018 3:00,9328.19
5/10/2018 4:00,9335.64
5/10/2018 5:00,9292.55
5/10/2018 6:00,9274.73
5/10/2018 7:00,9360.41
5/10/2018 8:00,9341.48
5/10/2018 9:00,9339.03
5/10/2018 10:00,9365.04
5/10/2018 11:00,9326.81
5/10/2018 12:00,9342.35
5/10/2018 13:00,9371.79
5/10/2018 14:00,9325.34
5/10/2018 15:00,9330.21
5/10/2018 16:00,9345.83
5/10/2018 17:00,9150.97
5/10/2018 18:00,9119.75
5/10/2018 19:00,9086.26
5/10/2018 20:00,9093.56
5/10/2018 21:00,9100.44
5/10/2018 22:00,9099.22
5/10/2018 23:00,9014.69
5/11/2018 0:00,8931.69
5/11/2018 1:00,8921.02
5/11/2018 2:00,8898.23
5/11/2018 3:00,8917.57
5/11/2018 4:00,8943.62
5/11/2018 5:00,8996.27
5/11/2018 6:00,8827.2
5/11/2018 7:00,8763.2
5/11/2018 8:00,8791.32
5/11/2018 9:00,8734.27
5/11/2018 10:00,8705.98
5/11/2018 11:00,8642.44
5/11/2018 12:00,8535.96
5/11/2018 13:00,8543.12
5/11/2018 14:00,8635.98
5/11/2018 15:00,8570.7
5/11/2018 16:00,8652.51
5/11/2018 17:00,8589.04
5/11/2018 18:00,8609.75
5/11/2018 19:00,8601.1
5/11/2018 20:00,8436.2
5/11/2018 21:00,8392.86
5/11/2018 22:00,8426.23
5/11/2018 23:00,8392
5/12/2018 0:00,8455.75
5/12/2018 1:00,8449.57
5/12/2018 2:00,8431.36
5/12/2018 3:00,8411.69
5/12/2018 4:00,8390.54
5/12/2018 5:00,8317.75
5/12/2018 6:00,8314.06
5/12/2018 7:00,8335.85
5/12/2018 8:00,8258.46
5/12/2018 9:00,8526.36
5/12/2018 10:00,8569.41
5/12/2018 11:00,8539.61
5/12/2018 12:00,8639.57
5/12/2018 13:00,8559.49
5/12/2018 14:00,8499.53
5/12/2018 15:00,8362.13
5/12/2018 16:00,8329.51
5/12/2018 17:00,8379.89
5/12/2018 18:00,8363.14
5/12/2018 19:00,8496.73
5/12/2018 20:00,8436.47
5/12/2018 21:00,8408.95
5/12/2018 22:00,8455.46
5/12/2018 23:00,8458.57
5/13/2018 0:00,8418.56
5/13/2018 1:00,8439.84
5/13/2018 2:00,8414.06
5/13/2018 3:00,8441.13
5/13/2018 4:00,8361.05
5/13/2018 5:00,8388.47
5/13/2018 6:00,8447.68
5/13/2018 7:00,8460.28
5/13/2018 8:00,8422.42
5/13/2018 9:00,8582.52
5/13/2018 10:00,8554.44
5/13/2018 11:00,8566.49
5/13/2018 12:00,8579.42
5/13/2018 13:00,8560.77
5/13/2018 14:00,8636.97
5/13/2018 15:00,8615.05
5/13/2018 16:00,8651.29
5/13/2018 17:00,8571.37
5/13/2018 18:00,8628.97
5/13/2018 19:00,8618.85
5/13/2018 20:00,8711.08
5/13/2018 21:00,8693.82
5/13/2018 22:00,8742.96
5/13/2018 23:00,8688.86
5/14/2018 0:00,8685.72
5/14/2018 1:00,8691.56
5/14/2018 2:00,8630.58
5/14/2018 3:00,8400.26
5/14/2018 4:00,8368.52
5/14/2018 5:00,8375.04
5/14/2018 6:00,8386.19
5/14/2018 7:00,8382.03
5/14/2018 8:00,8439.92
5/14/2018 9:00,8400.99
5/14/2018 10:00,8409.68
5/14/2018 11:00,8429.68
5/14/2018 12:00,8426.12
5/14/2018 13:00,8695.65
5/14/2018 14:00,8745.22
5/14/2018 15:00,8782.62
5/14/2018 16:00,8780.08
